sentence,label
请回放CCTV2的消费主张,2
给我打开玩具房的灯,2
我真的不开心！,0
你太棒了，周五带你去海洋馆玩,1
今天的天气阴沉沉的，让人感觉很压抑。,0
我觉得今天早上起床的时候就已经开始倒霉了。,0
这个任务太过繁琐，我觉得自己完全应付不了。,0
这次考试真是让人崩溃，题目都是我完全没准备过的。,0
这个城市的交通太糟糕了，每天都要被堵在路上。,0
我的电脑突然坏了，我简直不知道该怎么办才好。,0
这个新同事总是自以为是，让整个团队都感到很不舒服。,0
我觉得自己的生活好像陷入了一种无尽的循环，毫无意义可言。,0
今天的工作量太大了，我根本无法在规定时间内完成。,0
这个项目的进展太慢了，我觉得我们永远也完成不了。,0
我感觉自己的健康状况越来越差，简直就是一场噩梦。,0
我的钱包被偷了，里面的所有东西都没了，真是倒了大霉。,0
我和朋友之间的关系出了一些问题，让我感到很痛苦。,0
这个城市的环境真的很糟糕，污染严重，让人感到窒息。,0
我的老板总是对我挑剔，让我觉得自己毫无价值。,0
我的手机坏了，所有的联系方式都丢失了，真是糟糕透了。,0
我觉得自己的生活一团糟，根本找不到出路。,0
我的宠物生病了，兽医说情况很严重，我简直不知所措。,0
我的朋友突然对我冷淡起来，让我感到很失落。,0
我感觉自己的工作没有任何意义，每天都过得毫无生气。,0
我觉得自己被社会抛弃了，无法找到任何支持和帮助。,0
我在家里发现了一只老鼠，简直吓得我魂飞魄散。,0
我在网上被骗了，损失了一大笔钱，真是倒了大霉。,0
我的房东要涨房租，我根本支付不起，真是太糟糕了。,0
我的健康状况让我感到很担忧，我担心自己可能患上了严重的疾病。,0
我和伴侣之间的关系出了问题，我觉得我们可能会分手。,0
我刚刚丢掉了一份重要的文件，简直让我后悔死了。,0
我觉得自己的生活毫无方向，完全不知道该往哪里走。,0
我觉得自己的才华被浪费了，无法发挥出真正的价值。,0
我觉得自己的身体越来越差，简直就像是个行尸走肉。,0
我觉得自己的家庭关系十分紧张，每天都充满了争吵和矛盾。,0
我感觉自己的朋友都在背后议论我，让我感到很孤独。,0
我觉得自己的人生一片黑暗，看不到任何希望和出路。,0
我觉得自己的工作毫无挑战性，简直就是在浪费时间。,0
我觉得自己的经济状况越来越糟糕，简直就是一场灾难。,0
我觉得自己的社交生活越来越无聊，简直就像是在虚度光阴。,0
我觉得自己的学业进展缓慢，无法达到自己的期望。,0
我觉得自己的环境越来越拥挤，简直就像是个笼子。,0
我觉得自己的情感世界一片混乱，无法找到任何方向。,0
我觉得自己的生活一团糟，简直就像是个噩梦。,0
我觉得自己的心情越来越低落，无法找到任何乐趣。,0
我觉得自己的身心健康都在逐渐恶化，简直就像是个废人。,0
我觉得自己的家庭关系越来越紧张，简直就像是在火山口上生活。,0
"我觉得自己的精神状态越来越糟糕，",0
今天的阳光真温暖，让人心情愉悦。,1
每天都是一个新的开始，充满了无限可能。,1
坚持努力，成功就在眼前。,1
爱是世界上最美好的力量。,1
乐观的态度能帮助我们克服困难。,1
健康是人生最宝贵的财富。,1
朋友是生活中的阳光，给我们带来温暖和快乐。,1
不断学习，不断进步，让生活更美好。,1
乐于助人，让世界充满爱。,1
珍惜当下，享受生活中的每一刻。,1
信念是我们前进的动力。,1
勇敢面对挑战，我们的人生将更加精彩。,1
感恩的心让我们更加快乐。,1
做一个有责任心的人，让社会更美好。,1
爱护环境，保护地球家园。,1
保持微笑，让生活充满阳光。,1
诚信是做人的根本。,1
坚持梦想，我们一定能实现。,1
不断挑战自我，让人生更加精彩。,1
乐观的心态能帮助我们克服一切困难。,1
健康的生活方式让我们更快乐。,1
朋友的支持是我们前进的动力。,1
不断学习，让我们的生活更丰富多彩。,1
乐于助人，让我们的世界更美好。,1
珍惜每一份友谊，让生活充满温暖。,1
信念让我们勇往直前。,1
勇敢面对挑战，让人生更加精彩。,1
感恩的心让我们更加懂得珍惜。,1
做一个有责任心的人，让社会更加和谐。,1
爱护环境，让地球更加美丽。,1
保持微笑，让生活充满阳光。,1
诚信让我们赢得他人的尊重。,1
坚持梦想，让我们的人生更加有意义。,1
不断挑战自我，让我们不断成长。,1
乐观的心态能帮助我们战胜一切困难。,1
健康的生活方式让我们更加快乐。,1
朋友的支持让我们更加坚定。,1
不断学习，让我们的生活更加充实。,1
乐于助人，让我们的世界更加美好。,1
珍惜每一份友谊，让生活充满温暖。,1
信念让我们勇往直前。,1
勇敢面对挑战，让人生更加精彩。,1
感恩的心让我们更加懂得珍惜。,1
做一个有责任心的人，让社会更加和谐。,1
爱护环境，让地球更加美丽。,1
保持微笑，让生活充满阳光。,1
诚信让我们赢得他人的尊重。,1
坚持梦想，让我们的人生更加有意义。,1
不断挑战自我，让我们不断成长。,1
乐观的心态能帮助我们战胜一切困难。,1
健康的生活方式让我们更加快乐。,1
朋友的支持让我们更加坚定。,1
不断学习，让我们的生活更加充实。,1
乐于助人，让我们的世界更加美好。,1
珍惜每一份友谊，让生活充满温暖。,1
信念让我们勇往直前。,1
勇敢面对挑战，让人生更加精彩。,1
感恩的心让我们更加懂得珍惜。,1
做一个有责任心的人，让社会更加和谐。,1
爱护环境，让地球更加美丽。,1
保持微笑，让生活充满阳光。,1
诚信让我们赢得他人的尊重。,1
坚持梦想，让我们的人生更加有意义。,1
不断挑战自我，让我们不断成长。,1
乐观的心态能帮助我们战胜一切困难。,1
健康的生活方式让我们更加快乐。,1
朋友的支持让我们更加坚定。,1
不断学习，让我们的生活更加充实。,1
乐于助人，让我们的世界更加美好。,1
珍惜每一份友谊，让生活充满温暖。,1
信念让我们勇往直前。,1
勇敢面对挑战，让人生更加精彩。,1
感恩的心让我们更加懂得珍惜。,1
做一个有责任心的人，让社会更加和谐。,1
爱护环境，让地球更加美丽。,1
保持微笑，让生活充满阳光。,1
诚信让我们赢得他人的尊重。,1
坚持梦想，让我们的人生更加有意义。,1
不断挑战自我，让我们不断成长。,1
乐观的心态能帮助我们战胜一切困难。,1
健康的生活方式让我们更加快乐。,1
朋友的支持让我们更加坚定。,1
不断学习，让我们的生活更加充实。,1
乐于助人，让我们的世界更加美好。,1
珍惜每一份友谊，让生活充满温暖。,1
信念让我们勇往直前。,1
勇敢面对挑战,1
今天的阳光明媚，让我感到无比的愉悦和活力！,1
我刚完成了一本很有启发性的书籍，感觉心情格外美好。,1
听到你取得成功的消息，我感到由衷的高兴和鼓舞！,1
我正在面对挑战，但我相信我有足够的能力去克服它们。,1
今天的工作进展顺利，让我充满了动力和信心！,1
我遇到了一则非常有趣的笑话，让我忍俊不禁，心情愉悦！,1
收到你的来信，让我感到十分惊喜和期待，期待我们的未来合作！,1
这个问题虽然有挑战性，但我相信我有足够的智慧和能力去解决它。,1
看到你的辛勤工作得到认可，我为你感到无比的自豪和高兴！,1
虽然项目进展较慢，但我相信我们会克服困难，取得成功！,1
今天的困难只是暂时的，我有足够的勇气和智慧去面对它们！,1
我知道自己的健康状况会越来越好，因为我正在努力保持健康的生活方式！,1
虽然遇到了困难，但我相信我有足够的韧性和坚强去应对挑战！,1
即使有些挫折，但我依然对未来充满信心，因为我知道自己有能力战胜一切困难！,1
我相信每一次挑战都是一次成长的机会，我会从中学到更多，变得更加强大！,1
我的未来充满了希望和机遇，我相信自己能够创造出美好的明天！,1
我对自己的能力充满信心，我知道自己能够实现任何目标，无论多么艰巨！,1
每一次挑战都是一次成长的历程，我相信自己会变得更加坚强和成熟！,1
我对自己的未来充满信心，因为我知道自己有足够的才华和能力去实现梦想！,1
即使遇到困难，我依然对生活充满热爱和希望，因为我知道困难只是暂时的！,1
我相信每一次失败都是一次学习的机会，我会从中吸取经验，变得更加优秀！,1
我的生活充满了美好的可能性，我相信自己能够创造出属于自己的精彩！,1
